,Unnamed: 0_x,Код,Товар,Helium Volume,Minimum Weight Requirement,Maximum Elevation,Inflated Size,TM,img,Unnamed: 0_y,Артикул рус.,Название,Штрих-код,*
18,197,39380, Iridescent Sun, 1.52 ft3 (0.043 m3),23.0,9500.0,"27""/68cm w x 27""/68cm h","Holographic SuperShape P40 01, 02",https://embed.widencdn.net/img/anagram/gff3z64umr/1000px@1x/39380-Iridescent-Sun-Front.webp,76,1207-3381 ,А ФИГУРА/P40 Солнце переливы перламутр,26635393805,
19,212,38477, Happy Narwhal, 1.65 ft3 (0.047 m3),33.4,10000.0,"29""/73cm w x 39""/99cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/uubmawykbu/1000px@1x/38477-Happy-Narwhal.jpg,72,1207-3323 ,А ФИГУРА/P35 Дельфин с радужным рогом,26635384773,
20,214,38304, Happy Gingerbread Man, 1.38 ft3 (0.039 m3),19.9,8000.0,"22""/55cm w x 31""/78cm h","SuperShape P30 01, 02",https://embed.widencdn.net/img/anagram/sqaek4ggmx/1000px@1x/38304-Happy-Gingerbread-Man.webp,135,1207-4204 ,А ФИГУРА/P30 Пряничный человечек,26635383042,
21,225,37856, Donut, 1.49 ft3 (0.042 m3),22.3,9000.0,"27""/68cm w x 27""/68cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/spt9j2hl87/1000px@1x/37856-Donut-Side-1.webp,66,1207-3212 ,А ФИГУРА/P35 Пончик в глазури розовой,26635378567,
22,374,37856, Donut, 1.49 ft3 (0.042 m3),22.3,9000.0,"27""/68cm w x 27""/68cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/iyglisgpob/1000px@1x/37856-Donut-Side-2.webp,66,1207-3212 ,А ФИГУРА/P35 Пончик в глазури розовой,26635378567,
23,226,37800, Mermaid Wishes Seahorse, 1.34 ft3 (0.038 m3),15.5,5000.0,"20""/50cm w x 38""/96cm h","Holographic SuperShape P40 01, 02",https://embed.widencdn.net/img/anagram/ygxmpharvl/1000px@1x/37800-Mermaid-Wishes-Seahorse.webp,70,1207-3315 ,А ФИГУРА/P40 Конек морской голография,26635378000,
24,237,37115, Let's Flamingle Tropical Drink, 1.35 ft3 (0.038 m3),21.6,10000.0,"20""/50cm w x 41""/104cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/4zxseu7zht/1000px@1x/37115-Flamingle-Tropical-Drink.webp,65,1207-3159 ,А ФИГУРА/P35 Коктейль с трубочк Фламинго,26635371155,
25,247,35615, Happy Birthday Floral Print, 1.19 ft3 (0.034 m3),18.8,8000.0,"27""/68cm w x 20""/50cm h","SuperShape XLВ® P30 01, 02",https://embed.widencdn.net/img/anagram/mltcijdqpl/1000px@1x/35615-Happy-Birthday-Floral-Print.webp,96,1207-3735 ,А ФИГУРА/P30 HB Цветы на сердце,26635356152,
26,251,35458, TNT Party Dynamite, 2.38 ft3 (0.067 m3),45.2,10000.0,"25""/63cm w x 23""/58cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/lnlkyxiaji/1000px@1x/35458-TNT-Party-Dynamite.webp,157,1207-2997 ,А ФИГУРА/P35 HB TNT Party Динамит,26635354585,
27,252,35393, Gold Trophy, 1.23 ft3 (0.035 m3),16.7,8500.0,"25""/63cm w x 28""/71cm h","SuperShape P30 01, 02",https://embed.widencdn.net/img/anagram/ucktb45fuq/1000px@1x/35393-Gold-Trophy.webp,61,1207-2924 ,А ФИГУРА/P30 Кубок чемпиона золотой,26635353939,
28,253,35389, Dump Truck, 1.55 ft3 (0.044 m3),22.7,7500.0,"32""/81cm w x 25""/63cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/zvkgit41ln/1000px@1x/35389-Dump-Truck.webp,127,1207-4098 ,А ФИГУРА/P35 Самосвал,26635353892,
29,265,34158, Emoticons in Love, 1.38 ft3 (0.039 m3),20.8,9000.0,"36""/91cm w x 21""/53cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/yxyvokrdad/1000px@1x/34158-Emoticons-in-Love.webp,57,1207-2753 ,А ФИГУРА/P35 Улыбки влюбленные,26635341585,
30,274,32249, Triceratops, 1.67 ft3 (0.047 m3),26.5,8000.0,"42""/106cm w x 24""/60cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/prienuvoxz/1000px@1x/32249-Triceratops.webp,83,1207-3424 ,А ФИГУРА/P35 Динозавр Трицератопс,26635322492,
31,276,31299, Rainbow Unicorn, 1.50 ft3 (0.043 m3),19.4,6000.0,"33""/83cm w x 29""/73cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/nmu6hju13p/1000px@1x/31299-Rainbow-Unicorn.webp,60,1207-2809 ,А ФИГУРА/P35 Единорог радужный голова,26635312998,
32,278,31235, Lovely Bride, 1.89 ft3 (0.054 m3),30.9,10000.0,"19""/48cm w x 40""/101cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/sqbgrnagz5/1000px@1x/31235-Lovely-Bride.webp,37,1207-1866 ,А ФИГУРА/P40 Красавица невеста,26635312356,
33,279,31231, Rainbow Cloud, 1.58 ft3 (0.045 m3),23.1,8500.0,"30""/76cm w x 18""/45cm h",SuperShape XLВ® P35 01,https://embed.widencdn.net/img/anagram/p4zdqls8ma/1000px@1x/31231-Rainbow-Cloud-Front-Side.webp,133,1207-4194 ,А ФИГУРА/P35 Облако с дождиком улыбчивое,26635312318,
34,309,40676, Reason to Celebrate, 2.01 ft3 (0.057 m3),42.4,10000.0,"22""/55cm w x 22""/55cm h","SuperShape XLВ® P32 01, 02",https://embed.widencdn.net/img/anagram/fqtac5evne/1000px@1x/40676-Reason-to-Celebrate.webp,89,1207-3597 ,А ФИГУРА/P32 HB Треугольники разноцветн,26635406765,
35,313,39876, Lion King, 1.51 ft3 (0.043 m3),21.5,8000.0,"31""/78cm w x 26""/66cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/qt1ydc8gn1/1000px@1x/39876-Lion-King.webp,183,1207-4463 ,А ФИГУРА/P38 Король Лев Симба и Нала,26635398763,
36,322,39806, Princess Once Upon A Time, 2.31 ft3 (0.065 m3),41.3,10000.0,"34""/86cm w x 32""/81cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/qvj49u2ixs/1000px@1x/39806-Princess-Once-Upon-A-Time-Side-2.webp,144,1207-4299 ,А ФИГУРА/P38 Принцессы Диснея,26635398060,
37,323,39806, Princess Once Upon A Time, 2.31 ft3 (0.065 m3),41.3,10000.0,"34""/86cm w x 32""/81cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/rorjm0uekc/1000px@1x/39806-Princess-Once-Upon-A-Time-Side-1.webp,144,1207-4299 ,А ФИГУРА/P38 Принцессы Диснея,26635398060,
38,336,38480, Blast off Birthday, 1.87 ft3 (0.053 m3),34.6,10000.0,"21""/53cm w x 29""/73cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/xa8xhkzx7g/1000px@1x/38480-Blast-off-Birthday.webp,82,1207-3419 ,А ФИГУРА/P35 Ракета,26635384803,
39,337,26467, My Little Pony Rainbow Dash, 1.81 ft3 (0.051 m3),20.9,4500.0,"28""/71cm w x 27""/68cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/k9ynbazbau/1000px@1x/26467-My-Little-Pony-Rainbow-Dash.webp,33,1207-1774 ,А ФИГУРА/P38 My Little Pony радужная,26635264679,
40,338,39601, Happy Ice Cream Bar, 1.79 ft3 (0.051 m3),35.3,10000.0,"17""/43cm w x 35""/88cm h","SuperShape XLВ® P30 01, 02",https://embed.widencdn.net/img/anagram/kpdettrgor/1000px@1x/39601-Happy-Ice-Cream-Bar-Front.webp,78,1207-3416 ,А ФИГУРА/P30 Мороженое Эскимо,26635396011,
41,339,39601, Happy Ice Cream Bar, 1.79 ft3 (0.051 m3),35.3,10000.0,"17""/43cm w x 35""/88cm h","SuperShape XLВ® P30 01, 02",https://embed.widencdn.net/img/anagram/steit13xun/1000px@1x/39601-Happy-Ice-Cream-Bar-Back.webp,78,1207-3416 ,А ФИГУРА/P30 Мороженое Эскимо,26635396011,
42,355,38201, PJ Masks Catboy, 1.27 ft3 (0.036 m3),16.0,6000.0,"21""/53cm w x 37""/93cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/parqz0kxsm/1000px@1x/38201-PJ-Masks-Catboy.webp,84,1207-3425 ,А ФИГУРА/P38 Герои в масках Кэтбой,26635382014,
43,357,38202, PJ Masks Owlette, 1.91 ft3 (0.054 m3),29.2,9000.0,"33""/83cm w x 31""/78cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/v2uwzlt9rj/1000px@1x/38202-PJ-Masks-Owlette.webp,85,1207-3427 ,А ФИГУРА/P38 Герои в масках Алетт,26635382021,
44,363,38954, Incredibles 2 Jack Jack, 0.99 ft3 (0.028 m3),13.4,6000.0,"22""/55cm w x 32""/81cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/w1zimm2lyq/1000px@1x/38954-Incredibles-2-Jack-Jack.webp,73,1207-3366 ,А ФИГУРА/P38 Суперсемейка малыш ДжекДжек,26635389549,
45,366,38872, Harry Potter, 3.44 ft3 (0.097 m3),75.9,10000.0,"27""/68cm w x 25""/63cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/m08u7q0hff/1000px@1x/38872-Harry-Potter.webp,93,1207-3623 ,А ФИГУРА/P38 Гарри Поттер герб Хогвартса,26635388726,
46,368,38180, Wonder Woman, 1.84 ft3 (0.052 m3),30.6,10000.0,"33""/83cm w x 26""/66cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/6uq82fuf0z/1000px@1x/38180-Wonder-Woman-Side-1.webp,160,1207-4457 ,А ФИГУРА/P38 Чудо-Женщина,26635381802,
47,369,38180, Wonder Woman, 1.84 ft3 (0.052 m3),30.6,10000.0,"33""/83cm w x 26""/66cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/xku6an3iq2/1000px@1x/38180-Wonder-Woman-Side-2.webp,160,1207-4457 ,А ФИГУРА/P38 Чудо-Женщина,26635381802,
48,371,38472, Colorful Mermaid, 1.49 ft3 (0.042 m3),24.0,10000.0,"29""/73cm w x 30""/76cm h","SuperShape P35 01, 02",https://embed.widencdn.net/img/anagram/6lut6gb0oj/1000px@1x/38472-Colorful-Mermaid.webp,71,1207-3322 ,А ФИГУРА/P35 Русалка Хвост радужный,26635384728,
49,375,37804, Epic Party Game Controller, 1.78 ft3 (0.050 m3),30.4,10000.0,"28""/71cm w x 18""/45cm h","SuperShape P30 01, 02",https://embed.widencdn.net/img/anagram/uxy6qvolqc/1000px@1x/37804-Epic-Party-Game-Controller.webp,90,1207-3598 ,А ФИГУРА/P30 Джойстик игровой,26635378048,
50,382,34688, Moana, 1.10 ft3 (0.031 m3),12.3,4000.0,"28""/71cm w x 29""/73cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/ptvkeafdxw/1000px@1x/34688-Moana.webp,74,1207-3368 ,А ФИГУРА/P38 Моана,26635346887,
51,384,34495, Paw Patrol - Chase, 1.41 ft3 (0.040 m3),19.5,6500.0,"23""/58cm w x 31""/78cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/cn2fs4exfq/1000px@1x/34495-Paw-Patrol---Chase.webp,49,1207-2749 ,А ФИГУРА/P38 Щенячий Патруль Чейз,26635344951,
52,392,33529, Ariel Dream Big, 1.38 ft3 (0.039 m3),22.6,10000.0,"28""/71cm w x 34""/86cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/12di0ldlqk/1000px@1x/33529-Ariel-Dream-Big.webp,86,1207-2716 ,А ФИГУРА/P38 Русалочка Ариэль,26635335294,
53,393,33215, RAPUNZEL, 1.51 ft3 (0.043 m3),20.0,7000.0,"26""/66cm w x 31""/78cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/jepz6czpt3/1000px@1x/33215-Rapunzel.webp,55,1207-2717 ,А ФИГУРА/P38 Рапунцель шагающая,26635332156,
54,395,32533, Gender Reveal, 1.31 ft3 (0.037 m3),25.3,10000.0,"18""/45cm w x 28""/71cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/z1kspdvjbx/1000px@1x/32533-Gender-Reveal-Side-2.webp,136,1207-2808 ,А ФИГУРА/P35 Вопрос Мальчик или Девочка?,26635325332,
55,396,32533, Gender Reveal, 1.31 ft3 (0.037 m3),25.3,10000.0,"18""/45cm w x 28""/71cm h","SuperShape XLВ® P35 01, 02",https://embed.widencdn.net/img/anagram/igzibzrv7w/1000px@1x/32533-Gender-Reveal-Side-1.webp,136,1207-2808 ,А ФИГУРА/P35 Вопрос Мальчик или Девочка?,26635325332,
56,397,32393, Blaze Shape, 1.83 ft3 (0.052 m3),27.2,8000.0,"34""/86cm w x 28""/71cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/as4tv1xwxb/1000px@1x/32393-Blaze-Shape.webp,40,1207-2151 ,А ФИГУРА/P38 Вспыш,26635323932,
57,399,32010, Mario Bros., 1.87 ft3 (0.053 m3),35.4,10000.0,"22""/55cm w x 33""/83cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/jv8xnaeq2f/1000px@1x/32010-Mario-Bros.webp,52,1207-2757 ,А ФИГУРА/P38 Супер Марио,26635320108,
58,403,31621, Star Wars the Force Awakens BB8, 1.75 ft3 (0.050 m3),32.4,10000.0,"20""/50cm w x 33""/83cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/rzdpizko85/1000px@1x/31621-Star-Wars-The-Force-Awakens-BB8-Front-Side.webp,75,1207-3369 ,А ФИГУРА/P38 Звездные Войны Дроид BB-8,26635316217,
59,404,31621, Star Wars the Force Awakens BB8, 1.75 ft3 (0.050 m3),32.4,10000.0,"20""/50cm w x 33""/83cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/iroh1mnbzm/1000px@1x/31621-Star-Wars-The-Force-Awakens-BB8-Back-Side.webp,75,1207-3369 ,А ФИГУРА/P38 Звездные Войны Дроид BB-8,26635316217,
60,405,30182, Paw Patrol, 3.44 ft3 (0.097 m3),75.9,10000.0,"25""/63cm w x 27""/68cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/5feylpog5e/1000px@1x/30182-Paw-Patrol-Side-2.webp,39,1207-2073 ,А ФИГУРА/P38 Щенячий Патруль,26635301824,
61,406,30182, Paw Patrol, 3.44 ft3 (0.097 m3),75.9,10000.0,"25""/63cm w x 27""/68cm h","SuperShape P38 01, 02",https://embed.widencdn.net/img/anagram/azbrgbi7fm/1000px@1x/30182-Paw-Patrol-Side-1.webp,39,1207-2073 ,А ФИГУРА/P38 Щенячий Патруль,26635301824,
62,407,29954, Minion Shape, 1.12 ft3 (0.032 m3),19.3,9000.0,"16""/40cm w x 25""/63cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/lactajtrnl/1000px@1x/29954-Minion-Shape.webp,184,1207-4630 ,А ФИГУРА/P38 Миньоны Отто,26635299541,
63,408,29692, Superman Emblem, 1.69 ft3 (0.048 m3),34.4,10000.0,"26""/66cm w x 20""/50cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/qnoae8jhue/1000px@1x/29692-Superman-Emblem.webp,53,1207-2764 ,А ФИГУРА/P38 Супермен эмблема,26635296922,
64,409,29460, Pikachu, 1.49 ft3 (0.042 m3),25.4,7500.0,"24.5""/62cm w x 31""/78cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/brtfz1ty3e/1000px@1x/29460-Pikachu.webp,62,1207-2926 ,А ФИГУРА/P38 Покемон Пикачу,26635294607,
65,410,29333, Transformers Animated Shape, 1.40 ft3 (0.040 m3),21.2,7000.0,"32""/81cm w x 35""/88cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/eaoj2kxgja/1000px@1x/29333-Transformers-Animated-Shape.webp,45,1207-2736 ,А ФИГУРА/P38 Трансформеры Анимейтед,26635293334,
66,411,28445, Darth Vader Helmet Black, 2.01 ft3 (0.057 m3),41.8,10000.0,"25""/63cm w x 25""/63cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/yokhm84wiz/1000px@1x/28445-Darth-Vader-Helmet-Black.webp,36,1207-1828 ,А ФИГУРА/P40 Звездные Войны Шлем Вейдера,26635284455,
67,412,28473, Princess Belle, 1.96 ft3 (0.055 m3),40.6,8000.0,"24""/60cm w x 39""/99cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/fut3bz4hof/1000px@1x/28473-Princess-Belle.webp,14,1207-1035 ,А ФИГУРА/P38 Белль,26635284738,
68,413,28474, Princess Snow White, 1.45 ft3 (0.041 m3),23.7,7000.0,"24""/60cm w x 37""/93cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/czy4p8cink/1000px@1x/28474-Princess-Snow-White.webp,15,1207-1036 ,А ФИГУРА/P38 Белоснежка,26635284745,
69,414,28475, Princess Sleeping Beauty, 1.93 ft3 (0.055 m3),35.3,10000.0,"23""/58cm w x 34""/86cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/lmmb9clszl/1000px@1x/28475-Princess-Sleeping-Beauty.webp,13,1207-1034 ,А ФИГУРА/P38 Спящая красавица,26635284752,
70,415,28162, Disney Frozen, 1.97 ft3 (0.056 m3),27.2,8500.0,"25""/63cm w x 31""/78cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/pkwcwmds8l/1000px@1x/28162-Disney-Frozen-Side-2.webp,34,1207-1776 ,А ФИГУРА/P38 Холодное сердце,26635281621,
71,416,28162, Disney Frozen, 1.97 ft3 (0.056 m3),27.2,8500.0,"25""/63cm w x 31""/78cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/k6gkb5ptlb/1000px@1x/28162-Disney-Frozen-Side-1.webp,34,1207-1776 ,А ФИГУРА/P38 Холодное сердце,26635281621,
72,419,26374, Minnie Full Body, 1.64 ft3 (0.046 m3),25.1,8000.0,"19""/48cm w x 32""/81cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/yw7pp5l4qf/1000px@1x/26374-Minnie-Full-Body.webp,26,1207-1543 ,А ФИГУРА/P38 Минни танцующая,26635263740,
73,420,26373, Mickey Full Body, 1.66 ft3 (0.047 m3),24.3,9500.0,"22""/55cm w x 31""/78cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/ygi7ambobl/1000px@1x/26373-Mickey-Full-Body.webp,23,1207-1527 ,А ФИГУРА/P38 Микки танцующий,26635263733,
74,444,35370, Cars Lightning McQueen, 2.32 ft3 (0.066 m3),47.5,10000.0,"30""/76cm w x 17""/43cm h","SuperShape XLВ® P38 01, 02",https://embed.widencdn.net/img/anagram/8budhs0gqe/1000px@1x/35370-Cars-Lightning-McQueen.webp,68,1207-3311 ,А ФИГУРА/P38 Тачки Молния МакКуин,26635353700,
